Date,Open,High,Low,Close,Volume,Adj Close
2015-11-02,27.75,29.426001,27.75,28.459999,1999900,28.459999
2015-10-30,27.49,28.030001,26.389999,27.690001,1850200,27.690001
2015-10-29,28.57,28.93,27.40,27.57,960900,27.57
2015-10-28,28.620001,28.700001,27.83,28.23,1211000,28.23
2015-10-27,29.370001,29.666,27.85,28.459999,1659600,28.459999
2015-10-26,30.030001,30.24,29.40,29.43,1001400,29.43
2015-10-23,30.58,30.799999,29.90,29.99,539700,29.99
2015-10-22,30.07,30.85,29.870001,29.950001,991200,29.950001
2015-10-21,30.90,31.700001,29.110001,29.889999,1368700,29.889999
2015-10-20,30.620001,31.58,30.620001,31.16,613300,31.16
2015-10-19,30.469999,31.120001,30.32,30.66,852000,30.66
2015-10-16,31.35,31.59,30.129999,30.450001,1237700,30.450001
2015-10-15,31.99,32.630001,30.809999,31.15,1157500,31.15
2015-10-14,31.75,32.355,31.379999,31.870001,790000,31.870001
2015-10-13,31.540001,32.969002,31.360001,31.65,1063800,31.65
2015-10-12,33.369999,33.619999,31.110001,32.00,1386500,32.00
2015-10-09,31.610001,33.52,31.51,33.450001,2460900,33.450001
2015-10-08,29.780001,31.75,29.662001,31.60,2383400,31.60
2015-10-07,28.719999,30.129999,28.120001,29.99,975000,29.99
2015-10-06,26.889999,28.959999,26.889999,28.549999,1141900,28.549999
2015-10-05,26.549999,27.469999,26.42,27.120001,513000,27.120001
2015-10-02,25.84,26.90,25.700001,26.559999,1114400,26.559999
2015-10-01,27.030001,27.120001,25.67,26.110001,1630900,26.110001
2015-09-30,27.700001,27.870001,26.530001,27.00,1509300,27.00
2015-09-29,27.559999,28.01,27.18,27.50,984800,27.50
2015-09-28,27.629999,28.334999,26.790001,27.58,1518000,27.58
2015-09-25,27.58,28.51,27.57,27.90,1275900,27.90
2015-09-24,27.41,27.51,27.049999,27.26,665800,27.26
2015-09-23,27.35,27.610001,27.00,27.49,490000,27.49
2015-09-22,27.08,27.67,26.879999,27.26,1011600,27.26
2015-09-21,28.15,28.35,27.27,27.360001,1082900,27.360001
2015-09-18,27.50,28.540001,26.756001,28.07,2947100,28.07
2015-09-17,27.610001,28.059999,27.27,27.91,1120000,27.91
2015-09-16,27.620001,27.950001,27.35,27.450001,1228300,27.450001
2015-09-15,26.33,27.788,26.120001,27.65,1745000,27.65
2015-09-14,25.90,26.50,25.75,26.120001,595700,26.120001
2015-09-11,25.33,26.00,24.700001,25.870001,1613200,25.870001
2015-09-10,24.98,26.059999,24.90,25.450001,1082900,25.450001
2015-09-09,25.49,26.10,24.870001,25.07,1401000,25.07
2015-09-08,25.48,25.85,25.23,25.24,712300,25.24
2015-09-04,25.17,25.49,24.84,25.07,733000,25.07
2015-09-03,25.26,25.73,24.629999,25.51,900700,25.51
2015-09-02,24.83,26.200001,24.83,25.32,1687300,25.32
2015-09-01,24.049999,24.889999,24.01,24.43,909400,24.43
2015-08-31,24.66,24.92,24.24,24.66,1151400,24.66
2015-08-28,25.120001,25.719999,24.709999,24.860001,827700,24.860001
2015-08-27,25.290001,25.450001,24.639999,25.16,1635200,25.16
2015-08-26,25.049999,26.25,24.209999,25.00,2084500,25.00
2015-08-25,25.49,25.540001,24.290001,24.60,1959900,24.60
2015-08-24,23.93,25.18,23.00,24.370001,3330400,24.370001
2015-08-21,24.889999,26.85,24.50,25.18,3241900,25.18
2015-08-20,26.40,26.50,25.025999,25.17,1582500,25.17
2015-08-19,25.60,27.09,25.49,26.77,1750200,26.77
2015-08-18,24.65,26.950001,24.50,26.059999,3140300,26.059999
2015-08-17,26.58,26.719999,24.35,24.799999,2090200,24.799999
2015-08-14,26.129999,26.209999,24.66,25.190001,103300,25.190001
2015-08-13,26.00,26.60,25.76,26.200001,229600,26.200001
2015-08-12,25.00,26.209999,25.00,25.99,172600,25.99
2015-08-11,25.440001,26.02,24.559999,25.379999,141000,25.379999
2015-08-10,25.76,26.50,25.459999,26.139999,51400,26.139999
2015-08-07,27.50,27.50,24.200001,26.50,52200,26.50
2015-08-06,24.809999,26.950001,22.99,26.950001,73100,26.950001
2015-08-05,27.110001,27.469999,24.559999,25.24,107700,25.24
2015-08-04,27.00,27.030001,24.610001,25.799999,129100,25.799999
2015-08-03,27.65,28.82,25.719999,27.74,144700,27.74
